,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUEL OIL-3% USGC/3.5% FOB RDAM BARGES - ICE FUTURES ENERGY DIV,210803,2021-08-03,02141C,IFED,1,21,13362,7135,9238,5523,125,233,0,0,0,0,3507,242,13133,13345,229,17,13362,7135,9238,5523,125,233,0,0,0,0,3507,242,13133,13345,229,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1941,-900,-2281,-625,-15,48,0,0,0,-100,642,-335,-1912,-1941,-29,0,100,53.4,69.1,41.3,0.9,1.7,0,0,0,0,26.2,1.8,98.3,99.9,1.7,0.1,100,53.4,69.1,41.3,0.9,1.7,0,0,0,0,26.2,1.8,98.3,99.9,1.7,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,14,7,.,.,0,0,0,0,6,.,27,23,34,18,14,7,.,.,0,0,0,0,6,.,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,56.9,62.3,83.5,37.8,49.9,57.7,69.4,38.4,56.9,62.3,83.5,37.8,49.9,57.7,69.4,0,0,0,0,0,0,0,0,1000 barrels,02141C,IFED,21,N10,FutOnly
USGC HSFO-PLATTS/BRENT 1ST LN  - ICE FUTURES ENERGY DIV,210803,2021-08-03,02141R,IFED,1,21,4257,3877,3164,0,75,0,0,0,0,215,787,111,4203,4137,54,120,4257,3877,3164,0,75,0,0,0,0,215,787,111,4203,4137,54,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2692,-2434,-2160,0,40,-40,0,0,0,-175,-514,-28,-2677,-2702,-15,10,100,91.1,74.3,0,1.8,0,0,0,0,5.1,18.5,2.6,98.7,97.2,1.3,2.8,100,91.1,74.3,0,1.8,0,0,0,0,5.1,18.5,2.6,98.7,97.2,1.3,2.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,10,0,.,0,0,0,0,.,.,.,19,14,25,16,10,0,.,0,0,0,0,.,.,.,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2,54.4,67.9,80.2,38.1,46.3,56.6,63.5,45.2,54.4,67.9,80.2,38.1,46.3,56.6,63.5,0,0,0,0,0,0,0,0,BBL,02141R,IFED,21,N10,FutOnly
MINI SING FOB MARINE FUEL 0.5% - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,021A65,NYME,1,21,2985,1803,286,191,367,12,0,0,0,282,2040,87,2375,2792,610,193,2985,1803,286,191,367,12,0,0,0,282,2040,87,2375,2792,610,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-629,-432,-56,-67,0,9,0,0,0,-172,-558,15,-647,-590,18,-39,100,60.4,9.6,6.4,12.3,0.4,0,0,0,9.4,68.3,2.9,79.6,93.5,20.4,6.5,100,60.4,9.6,6.4,12.3,0.4,0,0,0,9.4,68.3,2.9,79.6,93.5,20.4,6.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,.,.,.,.,0,0,0,.,5,5,16,11,20,8,.,.,.,.,0,0,0,.,5,5,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,73.3,71.6,92.3,57.1,71.5,68.5,84.7,57.1,73.3,71.6,92.3,57.1,71.5,68.5,84.7,0,0,0,0,0,0,0,0,(100 METRIC TONS),021A65,NYME,21,N10,FutOnly
#2 HEATING OIL- NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,22651,NYME,1,22,402206,109506,234750,77820,1919,14275,55942,17469,42452,13727,23660,46017,359739,380542,42467,21664,402206,109506,234750,77820,1919,14275,55942,17469,42452,13727,23660,46017,359739,380542,42467,21664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2545,-215,2326,-184,1010,-895,-662,-1202,-3189,-429,-1534,4114,-1460,630,-1085,-3175,100,27.2,58.4,19.3,0.5,3.5,13.9,4.3,10.6,3.4,5.9,11.4,89.4,94.6,10.6,5.4,100,27.2,58.4,19.3,0.5,3.5,13.9,4.3,10.6,3.4,5.9,11.4,89.4,94.6,10.6,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,64,75,23,.,16,42,13,34,9,21,29,179,162,203,64,75,23,.,16,42,13,34,9,21,29,179,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,19,23.3,30.6,9.3,12.4,16.1,19.3,13.7,19,23.3,30.6,9.3,12.4,16.1,19.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",22651,NYME,22,N10,FutOnly
UP DOWN GC ULSD VS HO SPR - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,022A13,NYME,1,22,48895,29839,37447,2350,3930,0,0,3715,2160,1425,0,0,35774,47252,13121,1643,48895,29839,37447,2350,3930,0,0,3715,2160,1425,0,0,35774,47252,13121,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1611,-81,-1517,85,-60,-230,0,1475,-675,350,0,-200,-751,-1207,-860,-404,100,61,76.6,4.8,8,0,0,7.6,4.4,2.9,0,0,73.2,96.6,26.8,3.4,100,61,76.6,4.8,8,0,0,7.6,4.4,2.9,0,0,73.2,96.6,26.8,3.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,16,.,.,0,0,.,.,.,0,0,20,18,25,17,16,.,.,0,0,.,.,.,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,53,56.2,80.5,31.1,46.4,39.2,67,43.3,53,56.2,80.5,31.1,46.4,39.2,67,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",022A13,NYME,22,N10,FutOnly
NATURAL GAS HENRY LD1 FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,23391,IFED,1,23,6577944,3743764,1234868,512326,4479989,337072,946690,2820,192234,506047,15671,302463,6540596,6565117,37348,12827,6577944,3743764,1234868,512326,4479989,337072,946690,2820,192234,506047,15671,302463,6540596,6565117,37348,12827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-250502,-111520,-46348,-28050,-151464,1220,-66313,-633,-127,13025,6950,-60070,-251835,-250472,1333,-30,100,56.9,18.8,7.8,68.1,5.1,14.4,0,2.9,7.7,0.2,4.6,99.4,99.8,0.6,0.2,100,56.9,18.8,7.8,68.1,5.1,14.4,0,2.9,7.7,0.2,4.6,99.4,99.8,0.6,0.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,129,111,16,17,20,17,.,13,34,14,34,222,186,243,129,111,16,17,20,17,.,13,34,14,34,222,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,40.7,35.5,65.3,19.6,40.6,33.6,64.8,20.5,40.7,35.5,65.3,19.6,40.6,33.6,64.8,0,0,0,0,0,0,0,0,2500 MMBtus,23391,IFED,23,N13,FutOnly
NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV,210803,2021-08-03,23392,IFED,1,23,385950,31885,25666,154368,34577,70457,15958,204035,24489,72777,10570,16016,385950,385810,0,140,385950,31885,25666,154368,34577,70457,15958,204035,24489,72777,10570,16016,385950,385810,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52439,-1818,-7063,-24450,-2895,-2407,-8212,-8504,-1505,3215,-13335,-15969,-51146,-51678,-1293,-761,100,8.3,6.7,40,9,18.3,4.1,52.9,6.3,18.9,2.7,4.1,100,100,0,0,100,8.3,6.7,40,9,18.3,4.1,52.9,6.3,18.9,2.7,4.1,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,12,10,5,13,.,6,5,13,5,13,46,47,56,10,12,10,5,13,.,6,5,13,5,13,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,65.1,74.7,77.2,38.9,56.8,56,64.9,50.9,65.1,74.7,77.2,38.9,56.8,56,64.9,0,0,0,0,0,0,0,0,2500 mmbtu,23392,IFED,23,N13,FutOnly
SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,23393,IFED,1,23,215188,172740,183482,10881,4871,11458,0,0,0,0,1068,0,195079,200879,20109,14309,215188,172740,183482,10881,4871,11458,0,0,0,0,1068,0,195079,200879,20109,14309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436,3183,-3218,273,547,63,0,0,0,0,341,-90,3429,-2357,-993,4793,100,80.3,85.3,5.1,2.3,5.3,0,0,0,0,0.5,0,90.7,93.4,9.3,6.6,100,80.3,85.3,5.1,2.3,5.3,0,0,0,0,0.5,0,90.7,93.4,9.3,6.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,17,4,.,5,0,0,0,0,.,0,28,23,32,22,17,4,.,5,0,0,0,0,.,0,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,76.4,70.6,85.3,49.4,67.8,64.8,74,51.1,76.4,70.6,85.3,49.4,67.8,64.8,74,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",23393,IFED,23,N13,FutOnly
PG&E CITYGATE FIN BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,23394,IFED,1,23,177312,149583,119516,261,43325,1855,1209,0,0,8263,0,122,161293,164818,16019,12494,177312,149583,119516,261,43325,1855,1209,0,0,8263,0,122,161293,164818,16019,12494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2798,2045,2587,0,264,0,-62,0,0,151,0,-121,2013,2730,785,68,100,84.4,67.4,0.1,24.4,1,0.7,0,0,4.7,0,0.1,91,93,9,7,100,84.4,67.4,0.1,24.4,1,0.7,0,0,4.7,0,0.1,91,93,9,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,16,.,6,.,.,0,0,4,0,.,27,24,34,19,16,.,6,.,.,0,0,4,0,.,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,58.9,77.1,75.5,63.4,56.9,73.3,73.2,65.3,58.9,77.1,75.5,63.4,56.9,73.3,73.2,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",23394,IFED,23,N13,FutOnly
NWP ROCKIES FIN BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,23395,IFED,1,23,271327,181510,119459,55162,128274,12512,179,720,138,3279,2990,2688,255468,266781,15859,4546,271327,181510,119459,55162,128274,12512,179,720,138,3279,2990,2688,255468,266781,15859,4546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3301,2387,-144,-447,4684,-156,0,720,14,562,-2168,561,2921,3511,380,-210,100,66.9,44,20.3,47.3,4.6,0.1,0.3,0.1,1.2,1.1,1,94.2,98.3,5.8,1.7,100,66.9,44,20.3,47.3,4.6,0.1,0.3,0.1,1.2,1.1,1,94.2,98.3,5.8,1.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,24,25,6,8,5,.,.,.,.,.,.,36,42,52,24,25,6,8,5,.,.,.,.,.,.,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,43.4,68.2,61.1,38.8,39.5,50.9,55.8,48,43.4,68.2,61.1,38.8,39.5,50.9,55.8,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",23395,IFED,23,N13,FutOnly
AECO FIN BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,23396,IFED,1,23,910912,827682,81857,13705,764089,32973,555,765,3406,7254,3938,6280,891855,893308,19057,17604,910912,827682,81857,13705,764089,32973,555,765,3406,7254,3938,6280,891855,893308,19057,17604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025,2142,997,277,-8719,453,-333,-505,-853,-1871,182,138,-47,-8307,5072,13332,100,90.9,9,1.5,83.9,3.6,0.1,0.1,0.4,0.8,0.4,0.7,97.9,98.1,2.1,1.9,100,90.9,9,1.5,83.9,3.6,0.1,0.1,0.4,0.8,0.4,0.7,97.9,98.1,2.1,1.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,34,19,.,10,8,.,.,.,5,.,5,51,39,56,34,19,.,10,8,.,.,.,5,.,5,51,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6,54.9,63.6,84.7,46.1,52.9,63.1,81.3,46.6,54.9,63.6,84.7,46.1,52.9,63.1,81.3,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",23396,IFED,23,N13,FutOnly
CHICAGO FIN BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,23397,IFED,1,23,303835,187163,218784,75590,47793,19748,643,3597,0,6083,0,2923,292150,292845,11685,10990,303835,187163,218784,75590,47793,19748,643,3597,0,6083,0,2923,292150,292845,11685,10990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,1168,2083,-753,-158,-31,343,-248,0,697,0,-90,1334,1556,-812,-1034,100,61.6,72,24.9,15.7,6.5,0.2,1.2,0,2,0,1,96.2,96.4,3.8,3.6,100,61.6,72,24.9,15.7,6.5,0.2,1.2,0,2,0,1,96.2,96.4,3.8,3.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,35,28,5,8,8,.,4,0,4,0,.,52,46,64,35,28,5,8,8,.,4,0,4,0,.,52,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,44.8,62.4,64.9,41.8,40.1,60.7,58.1,43.6,44.8,62.4,64.9,41.8,40.1,60.7,58.1,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",23397,IFED,23,N13,FutOnly
HSC FIN BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,23398,IFED,1,23,612390,521835,433083,33170,133402,36576,510,2029,385,10730,226,1545,604751,607246,7639,5144,612390,521835,433083,33170,133402,36576,510,2029,385,10730,226,1545,604751,607246,7639,5144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176,3165,1604,280,1377,-1535,0,-156,-199,1870,0,241,3822,1332,-646,1844,100,85.2,70.7,5.4,21.8,6,0.1,0.3,0.1,1.8,0,0.3,98.8,99.2,1.2,0.8,100,85.2,70.7,5.4,21.8,6,0.1,0.3,0.1,1.8,0,0.3,98.8,99.2,1.2,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,38,29,5,8,8,.,.,.,9,.,4,59,48,69,38,29,5,8,8,.,.,.,9,.,4,59,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4,43.1,69.1,69.8,54.4,41.8,68.8,65.8,54.4,43.1,69.1,69.8,54.4,41.8,68.8,65.8,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",23398,IFED,23,N13,FutOnly
WAHA FIN BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,23399,IFED,1,23,448092,349483,170965,46017,215763,35182,0,7842,3324,695,2249,231,434932,435556,13160,12536,448092,349483,170965,46017,215763,35182,0,7842,3324,695,2249,231,434932,435556,13160,12536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,-1935,1888,1353,279,-479,0,-773,2142,119,620,-81,1119,3596,118,-2359,100,78,38.2,10.3,48.2,7.9,0,1.8,0.7,0.2,0.5,0.1,97.1,97.2,2.9,2.8,100,78,38.2,10.3,48.2,7.9,0,1.8,0.7,0.2,0.5,0.1,97.1,97.2,2.9,2.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,27,19,.,12,10,0,4,.,.,.,.,41,39,52,27,19,.,12,10,0,4,.,.,.,.,41,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,50.8,67.8,67.8,47.7,46.8,66.1,58.5,47.8,50.8,67.8,67.8,47.7,46.8,66.1,58.5,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",23399,IFED,23,N13,FutOnly
ALGONQUIN CITY-GATES FINANCIAL BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,02339E,IFED,1,23,109562,83092,98011,19151,3338,129,0,728,62,1082,891,308,103824,103467,5738,6095,109562,83092,98011,19151,3338,129,0,728,62,1082,891,308,103824,103467,5738,6095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873,2683,2052,280,0,-273,0,-682,0,213,217,-19,2884,1295,-11,1578,100,75.8,89.5,17.5,3,0.1,0,0.7,0.1,1,0.8,0.3,94.8,94.4,5.2,5.6,100,75.8,89.5,17.5,3,0.1,0,0.7,0.1,1,0.8,0.3,94.8,94.4,5.2,5.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,18,.,.,.,0,.,.,.,.,.,21,26,30,15,18,.,.,.,0,.,.,.,.,.,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.5,57.7,87.9,75.7,73.7,57.2,81.2,74.3,74.5,57.7,87.9,75.7,73.7,57.2,81.2,74.3,0,0,0,0,0,0,0,0,2500 mmbtu,02339E,IFED,23,N13,FutOnly
CHICAGO CITYGATE (INDEX) - ICE FUTURES ENERGY DIV,210803,2021-08-03,02339Q,IFED,1,23,54149,37386,48534,11224,3942,0,0,0,0,1267,232,372,50249,53080,3900,1069,54149,37386,48534,11224,3942,0,0,0,0,1267,232,372,50249,53080,3900,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,434,770,150,0,0,0,0,0,0,-93,93,677,770,93,0,100,69,89.6,20.7,7.3,0,0,0,0,2.3,0.4,0.7,92.8,98,7.2,2,100,69,89.6,20.7,7.3,0,0,0,0,2.3,0.4,0.7,92.8,98,7.2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,13,.,.,0,0,0,0,.,.,.,21,17,29,16,13,.,.,0,0,0,0,.,.,.,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,70.9,71.9,87,45.6,63.3,62.2,74.9,47.8,70.9,71.9,87,45.6,63.3,62.2,74.9,0,0,0,0,0,0,0,0,2500 mmbtu,02339Q,IFED,23,N13,FutOnly
COLORADO INTERSTATE - MAINLINE (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,02339U,IFED,1,23,350637,323225,58147,2209,274464,10076,0,1263,267,0,998,0,335777,345215,14860,5422,350637,323225,58147,2209,274464,10076,0,1263,267,0,998,0,335777,345215,14860,5422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6652,605,-271,334,5111,-31,0,1263,267,0,0,0,1175,6339,5477,313,100,92.2,16.6,0.6,78.3,2.9,0,0.4,0.1,0,0.3,0,95.8,98.5,4.2,1.5,100,92.2,16.6,0.6,78.3,2.9,0,0.4,0.1,0,0.3,0,95.8,98.5,4.2,1.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,17,.,13,4,0,.,.,0,.,0,26,34,43,21,17,.,13,4,0,.,.,0,.,0,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66.4,79.3,80.4,64.6,64.2,76,78,66,66.4,79.3,80.4,64.6,64.2,76,78,0,0,0,0,0,0,0,0,2500 mmbtu,02339U,IFED,23,N13,FutOnly
COLUMBIA GAS CO. - TCO POOL (APPALACHIA) (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,02339W,IFED,1,23,191628,163323,27910,4364,156419,5767,5025,0,0,0,0,0,178479,190096,13149,1532,191628,163323,27910,4364,156419,5767,5025,0,0,0,0,0,178479,190096,13149,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-2096,764,-556,-143,430,423,0,-151,0,0,0,-1950,900,2850,0,100,85.2,14.6,2.3,81.6,3,2.6,0,0,0,0,0,93.1,99.2,6.9,0.8,100,85.2,14.6,2.3,81.6,3,2.6,0,0,0,0,0,93.1,99.2,6.9,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,21,17,.,9,.,.,0,0,0,0,0,26,27,40,21,17,.,9,.,.,0,0,0,0,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4,55.7,72,83.7,54.4,55.7,69.4,83.7,54.4,55.7,72,83.7,54.4,55.7,69.4,83.7,0,0,0,0,0,0,0,0,2500 mm btu,02339W,IFED,23,N13,FutOnly
COLUMBIA GULF TRANSMISSION CO. -  MAINLINE POOL - ICE FUTURES ENERGY DIV,210803,2021-08-03,02339Y,IFED,1,23,263449,256362,168145,0,45990,2895,0,17601,449,920,16730,0,260626,251810,2823,11639,263449,256362,168145,0,45990,2895,0,17601,449,920,16730,0,260626,251810,2823,11639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7075,6558,533,0,-2651,427,0,7076,75,0,119,0,7060,5579,15,1496,100,97.3,63.8,0,17.5,1.1,0,6.7,0.2,0.3,6.4,0,98.9,95.6,1.1,4.4,100,97.3,63.8,0,17.5,1.1,0,6.7,0.2,0.3,6.4,0,98.9,95.6,1.1,4.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,15,0,6,.,0,.,.,.,.,0,27,25,38,23,15,0,6,.,0,.,.,.,.,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4,50.6,88.4,71,73.3,49.9,82.2,65.8,77.4,50.6,88.4,71,73.3,49.9,82.2,65.8,0,0,0,0,0,0,0,0,2500 mmbtu,02339Y,IFED,23,N13,FutOnly
DOMINION - SOUTH POINT - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233A2,IFED,1,23,58376,18143,42910,20525,3033,1329,9889,4074,640,3743,2573,1897,56166,56456,2210,1920,58376,18143,42910,20525,3033,1329,9889,4074,640,3743,2573,1897,56166,56456,2210,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6397,-155,5034,4557,1243,120,434,-1426,0,550,-54,85,5591,5002,806,1395,100,31.1,73.5,35.2,5.2,2.3,16.9,7,1.1,6.4,4.4,3.2,96.2,96.7,3.8,3.3,100,31.1,73.5,35.2,5.2,2.3,16.9,7,1.1,6.4,4.4,3.2,96.2,96.7,3.8,3.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,22,4,.,.,.,.,.,5,.,.,31,31,47,19,22,4,.,.,.,.,.,5,.,.,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,43.1,73.7,59,56.6,42.6,66.3,58.2,60.9,43.1,73.7,59,56.6,42.6,66.3,58.2,0,0,0,0,0,0,0,0,2500 mmbtu,0233A2,IFED,23,N13,FutOnly
DOMINION - SOUTH POINT (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233A3,IFED,1,23,680418,516628,179346,75367,433301,46136,13562,1692,7302,7239,502,2131,668365,670410,12053,10008,680418,516628,179346,75367,433301,46136,13562,1692,7302,7239,502,2131,668365,670410,12053,10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14322,7885,4364,-1773,3938,2705,2989,860,-1649,861,254,-223,10795,10249,3527,4073,100,75.9,26.4,11.1,63.7,6.8,2,0.2,1.1,1.1,0.1,0.3,98.2,98.5,1.8,1.5,100,75.9,26.4,11.1,63.7,6.8,2,0.2,1.1,1.1,0.1,0.3,98.2,98.5,1.8,1.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,48,31,5,10,11,.,.,.,4,.,.,67,53,78,48,31,5,10,11,.,.,.,4,.,.,67,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,55,44.4,77,27.4,53.3,42.4,70.5,27.6,55,44.4,77,27.4,53.3,42.4,70.5,0,0,0,0,0,0,0,0,2500 mmbtu,0233A3,IFED,23,N13,FutOnly
EL PASO - PERMIAN BASIN (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233A5,IFED,1,23,136231,51718,82207,56671,28149,21937,0,0,0,840,0,59,131225,132352,5006,3879,136231,51718,82207,56671,28149,21937,0,0,0,840,0,59,131225,132352,5006,3879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-279,-24,-1936,-462,391,48,0,0,0,93,0,-93,-438,-1590,159,1311,100,38,60.3,41.6,20.7,16.1,0,0,0,0.6,0,0,96.3,97.2,3.7,2.8,100,38,60.3,41.6,20.7,16.1,0,0,0,0.6,0,0,96.3,97.2,3.7,2.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,10,5,.,5,0,0,0,.,0,.,19,17,20,11,10,5,.,5,0,0,0,.,0,.,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8,85.9,84,93.1,56.2,67,68.2,70.8,59.8,85.9,84,93.1,56.2,67,68.2,70.8,0,0,0,0,0,0,0,0,2500 mmbtu,0233A5,IFED,23,N13,FutOnly
EL PASO-SAN JUAN BASIN-BLANCO POOL PRIMARY ONLY-BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233A8,IFED,1,23,191660,163323,82057,11363,103433,4472,2527,0,204,1680,0,257,183826,190423,7834,1237,191660,163323,82057,11363,103433,4472,2527,0,204,1680,0,257,183826,190423,7834,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,-2755,0,74,986,-463,946,0,-100,-119,0,15,-2402,438,3378,538,100,85.2,42.8,5.9,54,2.3,1.3,0,0.1,0.9,0,0.1,95.9,99.4,4.1,0.6,100,85.2,42.8,5.9,54,2.3,1.3,0,0.1,0.9,0,0.1,95.9,99.4,4.1,0.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,11,4,7,5,.,0,.,4,0,.,27,24,35,17,11,4,7,5,.,0,.,4,0,.,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.2,79.3,81.1,93.3,67.6,78.9,80.2,93,68.2,79.3,81.1,93.3,67.6,78.9,80.2,93,0,0,0,0,0,0,0,0,2500 mmbtu,0233A8,IFED,23,N13,FutOnly
HENRY HUB - TAILGATE LOUISIANA (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233AG,IFED,1,23,142858,80886,105047,49122,20120,5019,3076,837,0,3096,5335,0,141199,136358,1659,6500,142858,80886,105047,49122,20120,5019,3076,837,0,3096,5335,0,141199,136358,1659,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9838,8302,7131,1898,-461,475,695,-558,0,-159,186,0,11211,6773,-1373,3065,100,56.6,73.5,34.4,14.1,3.5,2.2,0.6,0,2.2,3.7,0,98.8,95.5,1.2,4.5,100,56.6,73.5,34.4,14.1,3.5,2.2,0.6,0,2.2,3.7,0,98.8,95.5,1.2,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,28,26,7,6,7,.,.,0,4,.,0,45,40,63,28,26,7,6,7,.,.,0,4,.,0,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1,43.9,61.3,61.9,38.5,39.3,55,53,40.1,43.9,61.3,61.9,38.5,39.3,55,53,0,0,0,0,0,0,0,0,2500 mmbtu,0233AG,IFED,23,N13,FutOnly
